q,r,tile_type
0,0,MOUNTAIN
1,0,FOREST
2,0,FOREST
3,0,MOUNTAIN
4,0,FOREST
5,0,GRASSLAND
6,0,GRASSLAND
7,0,WOODS
8,0,GRASSLAND
9,0,HILL
0,1,FOREST
1,1,WOODS
2,1,GRASSLAND
3,1,FOREST
4,1,GRASSLAND
5,1,FARMLAND
6,1,GRASSLAND
7,1,FARMLAND
8,1,HILL
9,1,GRASSLAND
0,2,HILL
1,2,FOREST
2,2,GRASSLAND
3,2,FARMLAND
4,2,FARMLAND
5,2,GRASSLAND
6,2,FARMLAND
7,2,HILL
8,2,GRASSLAND
9,2,FARMLAND
0,3,MOUNTAIN
1,3,HILL
2,3,GRASSLAND
3,3,FARMLAND
4,3,FARMLAND
5,3,COASTAL_WATER
6,3,COASTAL_WATER
7,3,COASTAL_WATER
8,3,FARMLAND
9,3,COASTAL_WATER
0,4,HILL
1,4,GRASSLAND
2,4,FARMLAND
3,4,COASTAL_WATER
4,4,OCEAN
5,4,OCEAN
6,4,COASTAL_WATER
7,4,GRASSLAND
8,4,FARMLAND
9,4,COASTAL_WATER
0,5,MOUNTAIN
1,5,GRASSLAND
2,5,COASTAL_WATER
3,5,OCEAN
4,5,OCEAN
5,5,OCEAN
6,5,COASTAL_WATER
7,5,FARMLAND
8,5,FARMLAND
9,5,COASTAL_WATER
0,6,HILL
1,6,FARMLAND
2,6,COASTAL_WATER
3,6,OCEAN
4,6,OCEAN
5,6,OCEAN
6,6,OCEAN
7,6,COASTAL_WATER
8,6,FARMLAND
9,6,COASTAL_WATER
0,7,COASTAL_WATER
1,7,OCEAN
2,7,OCEAN
3,7,OCEAN
4,7,OCEAN
5,7,OCEAN
6,7,OCEAN
7,7,OCEAN
8,7,COASTAL_WATER
9,7,OCEAN
0,8,OCEAN
1,8,OCEAN
2,8,OCEAN
3,8,OCEAN
4,8,OCEAN
5,8,OCEAN
6,8,OCEAN
7,8,OCEAN
8,8,COASTAL_WATER
9,8,OCEAN
0,9,OCEAN
1,9,OCEAN
2,9,OCEAN
3,9,OCEAN
4,9,OCEAN
5,9,OCEAN
6,9,OCEAN
7,9,OCEAN
8,9,OCEAN
9,9,OCEAN
