q,r,tile_type
0,0,MOUNTAIN
1,0,MOUNTAIN
2,0,MOUNTAIN
3,0,MOUNTAIN
4,0,FOREST
5,0,FOREST
6,0,FOREST
7,0,FOREST
8,0,FARMLAND
9,0,FARMLAND
10,0,GRASSLAND
11,0,GRASSLAND
12,0,GRASSLAND
13,0,GRASSLAND
14,0,FOREST
15,0,FOREST
16,0,FOREST
17,0,MOUNTAIN
18,0,MOUNTAIN
19,0,MOUNTAIN
0,1,MOUNTAIN
1,1,MOUNTAIN
2,1,MOUNTAIN
3,1,MOUNTAIN
4,1,FOREST
5,1,FOREST
6,1,FOREST
7,1,FOREST
8,1,FARMLAND
9,1,FARMLAND
10,1,GRASSLAND
11,1,GRASSLAND
12,1,GRASSLAND
13,1,GRASSLAND
14,1,FOREST
15,1,FOREST
16,1,FOREST
17,1,MOUNTAIN
18,1,MOUNTAIN
19,1,MOUNTAIN
0,2,MOUNTAIN
1,2,MOUNTAIN
2,2,MOUNTAIN
3,2,MOUNTAIN
4,2,FOREST
5,2,FOREST
6,2,FOREST
7,2,FOREST
8,2,FARMLAND
9,2,FARMLAND
10,2,GRASSLAND
11,2,GRASSLAND
12,2,GRASSLAND
13,2,GRASSLAND
14,2,FOREST
15,2,FOREST
16,2,FOREST
17,2,MOUNTAIN
18,2,MOUNTAIN
19,2,MOUNTAIN
0,3,MOUNTAIN
1,3,MOUNTAIN
2,3,MOUNTAIN
3,3,MOUNTAIN
4,3,FOREST
5,3,FOREST
6,3,FOREST
7,3,FOREST
8,3,FARMLAND
9,3,FARMLAND
10,3,FARMLAND
11,3,FARMLAND
12,3,FARMLAND
13,3,FARMLAND
14,3,FOREST
15,3,FOREST
16,3,FOREST
17,3,MOUNTAIN
18,3,MOUNTAIN
19,3,MOUNTAIN
0,4,MOUNTAIN
1,4,MOUNTAIN
2,4,MOUNTAIN
3,4,MOUNTAIN
4,4,FOREST
5,4,FOREST
6,4,FOREST
7,4,FOREST
8,4,FARMLAND
9,4,FARMLAND
10,4,FARMLAND
11,4,FARMLAND
12,4,FARMLAND
